Title,Podcaster,Author,Status,Chapters,Time,Ship or Main Character,Link,Spotify/stream,Third Link,ao3,other
"""We were born sick"", you heard them say it",luckytiger96,fairies_withspirits,complete,8 of 8,5+ hours,Remus Lupin/James Potter,https://archiveofourown.org/works/50602762,,,"<a href=""https://archiveofourown.org/works/50602762"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>",
(They taught me everything) just like daddy should,badwriterrr,badwriterrr,hiatus,3 of 20,,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/28089396,,,"<a href=""https://archiveofourown.org/works/28089396"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>",
(Treacle) Tart,sisi_rambles,faithwood,complete,oneshot,0-15 mins,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/916877,,,"<a href=""https://archiveofourown.org/works/916877"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>",
(Un)wanted,aibidil,aibidil,complete,oneshot,1-5 hours,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/40103235,,,"<a href=""https://archiveofourown.org/works/40103235"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>",
(You're a) Revolution,smirkingcat,OTPshipper98,complete,6 of 6,1-5 hours,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/36011389,,,"<a href=""https://archiveofourown.org/works/36011389"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>",
(not anyone) you're the one,bluedreaming,panicparade,complete,4 of 4,1-5 hours,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/34220620,,,"<a href=""https://archiveofourown.org/works/34220620"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>",
"101 Ways to Heal Your Wizarding Woes (Or, an Unfortunate Incident with a Traffic Cone and a Policeman’s Helmet)",laughingd0g,who_la_hoop,complete,oneshot,1-5 hours,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/22673944,,,"<a href=""https://archiveofourown.org/works/22673944"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>",
12 Grimmauld Place,averytree,Ppyajunebug,complete,oneshot,0-15 mins,Harry Potter,https://archiveofourown.org/works/9318968,,,"<a href=""https://archiveofourown.org/works/9318968"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>",
13 paper boats floating in the sea (+2 that reached you),Jetainia,justprompts,complete,oneshot,15-60 mins,James Potter/Lily Evans Potter,https://archiveofourown.org/works/31979569,,,"<a href=""https://archiveofourown.org/works/31979569"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>",
1981,TheQuietWings,orphan_account,complete,oneshot,0-15 mins,Sirius Black/Remus Lupin,https://archiveofourown.org/works/28330134,,,"<a href=""https://archiveofourown.org/works/28330134"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>",
36 Questions,"BurningAurora, Wolfstar Tales",haey1,complete,oneshot,15-60 mins,Sirius Black/Remus Lupin,https://archiveofourown.org/works/44964439,https://open.spotify.com/episode/5PfeZBkipkkY712XukEIum?si=0821e32aac8a4b2e,,"<a href=""https://archiveofourown.org/works/44964439"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://open.spotify.com/episode/5PfeZBkipkkY712XukEIum?si=0821e32aac8a4b2e"" target=""_blank""><img src=""./imgs/spotify.png"" alt=""spotify"" class=""link_icon""></a>"
40 Years Later,Vikehi,emptyjunior and hufflehermione,complete,oneshot,0-15 mins,Hermione Granger/Ron Weasley,https://archiveofourown.org/works/25101187,,,"<a href=""https://archiveofourown.org/works/25101187"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>",
5 times Draco Malfoy lied because of Harry Potter (and 1 time he was uncharacteristically honest),"Cailynwrites, ETL_Echo_Audiobooks",Ingi,complete,oneshot,15-60 mins,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/41814702,,,"<a href=""https://archiveofourown.org/works/41814702"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>",
6 Lessons From a Dead Man,fire_juggler,RoozetteR,complete,oneshot,1-5 hours,Harry Potter/Severus Snape,https://archiveofourown.org/works/309648,,,"<a href=""https://archiveofourown.org/works/309648"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>",
8 Simple Rules For Loving a Vampire,EllaMcSmellBella,simplifieddemotions,complete,7 of 7,1-5 hours,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/44780407,https://open.spotify.com/episode/5ywv4dtMclbb8YctyKgWvZ?si=f89da0f88b554f7e,,"<a href=""https://archiveofourown.org/works/44780407"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://open.spotify.com/episode/5ywv4dtMclbb8YctyKgWvZ?si=f89da0f88b554f7e"" target=""_blank""><img src=""./imgs/spotify.png"" alt=""spotify"" class=""link_icon""></a>"
A Bitter Justice,EllaMcSmellBella,gloivy,complete,oneshot,15-60 mins,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/44201341,https://open.spotify.com/episode/3uo6c0BOPO3SCrN7zYCpn8?si=0cfc357d59634979,,"<a href=""https://archiveofourown.org/works/44201341"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://open.spotify.com/episode/3uo6c0BOPO3SCrN7zYCpn8?si=0cfc357d59634979"" target=""_blank""><img src=""./imgs/spotify.png"" alt=""spotify"" class=""link_icon""></a>"
A Black and a Potter,peaceinpanem,TheFeistyRogue,complete,oneshot,0-15 mins,Regulus Black/James Potter,https://archiveofourown.org/works/49397263,,,"<a href=""https://archiveofourown.org/works/49397263"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>",
A Careful Facade,kitartpods,In_Dreams,complete,oneshot,15-60 mins,Pansy Parkinson/Percy Weasley,https://archiveofourown.org/works/48931135,,,"<a href=""https://archiveofourown.org/works/48931135"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>",
A Casual Death,Queenie_Mab,Vaysh,complete,oneshot,15-60 mins,Charity Burbage,https://archiveofourown.org/works/995820,,,"<a href=""https://archiveofourown.org/works/995820"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>",
A Christmas Collaboration,EllaMcSmellBella,Musyc,complete,oneshot,0-15 mins,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/43407688,https://open.spotify.com/episode/4uvoZCT36PZlHWIbUib5Y8?si=cd404d005dd74f2d,,"<a href=""https://archiveofourown.org/works/43407688"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://open.spotify.com/episode/4uvoZCT36PZlHWIbUib5Y8?si=cd404d005dd74f2d"" target=""_blank""><img src=""./imgs/spotify.png"" alt=""spotify"" class=""link_icon""></a>"
A Clothy Problem,PhenomenalAsterisk,FlightinFlame,complete,oneshot,0-15 mins,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/38613069,,,"<a href=""https://archiveofourown.org/works/38613069"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>",
A Compliment,peasina,gorgeousnerd,complete,oneshot,0-15 mins,Sirius Black/Remus Lupin,https://archiveofourown.org/works/36244810,,,"<a href=""https://archiveofourown.org/works/36244810"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>",
"A Conspiracy of Cartographers: Part 1, A History of Cartographers",picascribit,picascribit,complete,12 of 12,15-60 mins,Parents of the Marauders,https://archiveofourown.org/works/924665,,,"<a href=""https://archiveofourown.org/works/924665"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>",
"A Conspiracy of Cartographers: Part 2, A Conspiracy of Cartographers: Year One",picascribit,picascribit,complete,20 of 20,5+ hours,Sirius Black/Remus Lupin,https://archiveofourown.org/works/905854,,,"<a href=""https://archiveofourown.org/works/905854"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>",
"A Conspiracy of Cartographers: Part 3, A Conspiracy of Cartographers: Year Two",picascribit,picascribit,hiatus,20 of ?,,Sirius Black/Remus Lupin,https://archiveofourown.org/works/917717,,,"<a href=""https://archiveofourown.org/works/917717"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>",
A Continuation Involving Powdered Donuts and Fits of Erotic Panic,xinasvoice,xinasvoice,complete,oneshot,1-5 hours,Sirius Black/Remus Lupin,https://archiveofourown.org/works/20159050,,,"<a href=""https://archiveofourown.org/works/20159050"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>",
A Crown of Crimson-Gold,thatreallyextrakid,CleotheDreamer,complete,oneshot,0-15 mins,Draco Malfoy,https://archiveofourown.org/works/24176698,,,"<a href=""https://archiveofourown.org/works/24176698"" target=""_blank""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>",
