Title,Podcaster,Author,Chapters,Status,Time,Ship or Main Character,Link,Spotify/stream,Third Link,FANDOM NAME,,Date Podfic Published/Updated,Date Fic Published,,SHIP NAME,Ship or Main Character,COUNTA of Ship or Main Character
1981,TheQuietWings,orphan_account,oneshot,complete,0-15 mins,Sirius Black/Remus Lupin,https://archiveofourown.org/works/28330134,,,Wolfstar,,2020/12/26,2017/04/04,,,Harry Potter & Tom Riddle,3
"""We were born sick"", you heard them say it",luckytiger96,fairies_withspirits,8 of 8,complete,10+ hours,Remus Lupin/James Potter,https://archiveofourown.org/works/50602762,,,,,2023/12/13,2023/12/08,,Hinny,Harry Potter/Ginny Weasley,3
(not anyone) you're the one,bluedreaming,panicparade,4 of 4,complete,1-5 hours,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/34220620,,,Drarry,,2021/10/24,2020/12/11,,Tomarry,Harry Potter/Tom Riddle,3
(Treacle) Tart,sisi_rambles,faithwood,oneshot,complete,0-15 mins,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/916877,,,Drarry,,2013/08/08,2011/08/17,,Hedric,Cedric Diggory/Harry Potter,2
(Un)wanted,aibidil,aibidil,oneshot,complete,1-5 hours,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/40103235,,,Drarry,,2022/07/05,2020/03/06,,Snaco,Draco Malfoy/Severus Snape,2
(What’s a kink?) Between Friends,"ETL_Echo_Audiobooks, MakeMeProud",morriganmercy,oneshot,complete,15-60 mins,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/55968190,,,Dramione,,2024/05/30,2021/12/03,,,Eileen Prince/Tobias Snape,2
(You're a) Revolution,smirkingcat,OTPshipper98,6 of 6,complete,1-5 hours,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/36011389,,,Drarry,,2022/01/01,2019/12/23,,Dramionarry,Harry Potter/Hermione Granger/Draco Malfoy,2
[T4T],crazybutgood,corvuscrowned,oneshot,complete,15-60 mins,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/37013038,,,Drarry,,2021/12/30,2022/04/04,,Fleurmione,Hermione Granger/Fleur Delacour,2
[un]shattered,sunflower_swan,martinnn,oneshot,complete,0-15 mins,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/36654502,,,Drarry,,,,,Harmony,Hermione Granger/Harry Potter,2
10 Peppermint Mochas & 1 Pumpkin Frappuchino,Opalsong,Opalsong,oneshot,complete,0-15 mins,Luna Lovegood & Ginny Weasley,https://amplificathon.dreamwidth.org/2924930.html,,,,,,,,Cissamione,Hermione Granger/Narcissa Black Malfoy,2
"101 Ways to Heal Your Wizarding Woes (Or, an Unfortunate Incident with a Traffic Cone and a Policeman’s Helmet)",laughingd0g,who_la_hoop,oneshot,complete,1-5 hours,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/22673944,,,Drarry,,,,,Snily,Lily Evans Potter/Severus Snape,2
12 Grimmauld Place,averytree,Ppyajunebug,oneshot,complete,0-15 mins,Harry Potter,https://archiveofourown.org/works/9318968,,,,,,,,Linny,Luna Lovegood/Ginny Weasley,2
13 paper boats floating in the sea (+2 that reached you),Jetainia,justprompts,oneshot,complete,15-60 mins,James Potter/Lily Evans Potter,https://archiveofourown.org/works/31979569,,,Jily,,,,,Ginsy,Pansy Parkinson/Ginny Weasley,2
15 Minutes in Hell,theimpossiblegl,theimpossiblegl,oneshot,complete,0-15 mins,Head of House professors,https://hp-podfic-fest.livejournal.com/81941.html,,,,,,,,Ronsy,Pansy Parkinson/Ron Weasley,2
"19 Things I, Draco Lucius Abraxas Black Malfoy, Learned at Nineteen",Cailynwrites,starlitsilvereyes,oneshot,complete,0-15 mins,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/56207077,,,Drarry,,,,,Scorbus,Scorpius Malfoy/Albus Severus Potter,2
