Title,Podcaster,Author,Chapters,Status,Time,Ship or Main Character,Link,Spotify/stream,Third Link,FANDOM NAME,,Date Podfic Published/Updated,Date Fic Published,Fic Link,notes,SHIP NAME,Ship or Main Character,COUNTA of Ship or Main Character
1981,TheQuietWings,orphan_account,oneshot,complete,0-15 mins,Sirius Black/Remus Lupin,https://archiveofourown.org/works/28330134,,,Wolfstar,,2020/12/26,2017/04/04,https://archiveofourown.org/works/10567089,,,Harry Potter & Tom Riddle,3
"""We were born sick"", you heard them say it",luckytiger96,fairies_withspirits,8 of 8,complete,10+ hours,Remus Lupin/James Potter,https://archiveofourown.org/works/50602762,,,,,2023/12/13,2023/12/08,https://archiveofourown.org/works/50046460/chapters/126368974,,Hinny,Harry Potter/Ginny Weasley,3
(not anyone) you're the one,bluedreaming,panicparade,4 of 4,complete,1-5 hours,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/34220620,,,Drarry,,2021/10/24,2020/12/11,https://archiveofourown.org/works/27579394/chapters/67464361,,Tomarry,Harry Potter/Tom Riddle,3
(Treacle) Tart,sisi_rambles,Faith Wood,oneshot,complete,0-15 mins,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/916877,,,Drarry,,2013/08/08,2011/08/17,https://faithwood.livejournal.com/254004.html,,Hedric,Cedric Diggory/Harry Potter,2
(Un)wanted,aibidil,aibidil,oneshot,complete,1-5 hours,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/40103235,,,Drarry,,2022/07/05,2020/03/06,https://archiveofourown.org/works/23032447,,Snaco,Draco Malfoy/Severus Snape,2
(What’s a kink?) Between Friends,"ETL_Echo_Audiobooks, MakeMeProud",morriganmercy,oneshot,complete,15-60 mins,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/55968190,,,Dramione,,2024/05/30,2021/12/03,https://archiveofourown.org/works/35486941,,,Eileen Prince/Tobias Snape,2
(You're a) Revolution,smirkingcat,OTPshipper98,6 of 6,complete,1-5 hours,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/36011389,,,Drarry,,2022/01/01,2019/12/23,https://archiveofourown.org/works/21696967/chapters/51750013,,Dramionarry,Harry Potter/Hermione Granger/Draco Malfoy,2
[T4T],crazybutgood,corvuscrowned,oneshot,complete,15-60 mins,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/37013038,,,Drarry,,2021/12/30,2022/04/04,https://archiveofourown.org/works/36066121,,Fleurmione,Hermione Granger/Fleur Delacour,2
[un]shattered,sunflower_swan,martinnn,oneshot,complete,0-15 mins,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/36654502,,,Drarry,,2022/01/25,,,needs investigating,Harmony,Hermione Granger/Harry Potter,2
10 Peppermint Mochas & 1 Pumpkin Frappuchino,Opalsong,Opalsong,oneshot,complete,0-15 mins,Luna Lovegood & Ginny Weasley,https://amplificathon.dreamwidth.org/2924930.html,,,,,2016/02/03,2016/02/13,https://archiveofourown.org/works/5992099,,Cissamione,Hermione Granger/Narcissa Black Malfoy,2
